Element,Direction,Pat,Major_Functional_Class,TERM
VEGF,Increase,Pat10Prob,Immune cell amplification,positive regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis
VEGF,Increase,Pat10Prob,Tissue construction / repair,positive regulation of sprouting angiogenesis
VEGF,Increase,Pat10Prob,Tissue construction / repair,positive regulation of epithelial tube formation
VEGF,Increase,Pat10Prob,Resolution,negative regulation of blood-brain barrier permeability
VEGF,Increase,Pat10Prob,Resolution,negative regulation of cell-cell adhesion mediated by cadherin
VEGF,Increase,Pat10Prob,Immune cell positioning,positive regulation of endothelial cell chemotaxis
MMP-9,Increase,Pat10Prob,Tissue destruction,apoptotic process
MMP-9,Increase,Pat10Prob,Immune cell positioning,cell migration
MMP-9,Increase,Pat10Prob,Tissue construction / repair,extracellular matrix organization
MMP-9,Increase,Pat10Prob,Tissue destruction,positive regulation of apoptotic process
MMP-9,Increase,Pat10Prob,Resolution,negative regulation of apoptotic process
MMP-9,Increase,Pat10Prob,Immune cell positioning,positive regulation of keratinocyte migration
MMP-9,Increase,Pat10Prob,Immune cell amplification,positive regulation of vascular associated smooth muscle cell proliferation
MMP-9,Increase,Pat10Prob,Resolution,negative regulation of epithelial cell differentiation involved in kidney development
MMP-9,Increase,Pat10Prob,Resolution,negative regulation of intrinsic apoptotic signaling pathway
MMP-9,Increase,Pat10Prob,Resolution,negative regulation of cation channel activity
GDF-15,Increase,Pat10Prob,Immune cell positioning,negative regulation of leukocyte migration
GDF-15,Increase,Pat10Prob,Resolution,negative regulation of transforming growth factor beta receptor signaling pathway
GDF-15,Increase,Pat10Prob,Resolution,negative regulation of appetite
GDF-15,Increase,Pat10Prob,Resolution,negative regulation of multicellular organism growth
GDF-15,Increase,Pat10Prob,Resolution,negative regulation of SMAD protein signal transduction
GDF-15,Increase,Pat10Prob,Resolution,negative regulation of growth hormone receptor signaling pathway
OPG,Increase,Pat10Prob,Tissue destruction,apoptotic process
OPG,Increase,Pat10Prob,Resolution,negative regulation of tumor necrosis factor-mediated signaling pathway
OPG,Increase,Pat10Prob,Tissue construction / repair,extracellular matrix organization
OPG,Increase,Pat10Prob,Resolution,negative regulation of odontogenesis of dentin-containing tooth
OPG,Increase,Pat10Prob,Resolution,negative regulation of osteoclast differentiation
OPG,Increase,Pat10Prob,Resolution,negative regulation of bone resorption
YKL40,Increase,Pat10Prob,Tissue destruction,apoptotic process
YKL40,Increase,Pat10Prob,Immune cell activation,activation of NF-kappaB-inducing kinase activity
YKL40,Increase,Pat10Prob,Tissue construction / repair,positive regulation of angiogenesis
YKL40,Increase,Pat10Prob,Tissue destruction,cartilage development
SCF,Increase,Pat10Proa,Immune cell positioning,neural crest cell migration
SCF,Increase,Pat10Proa,Immune cell positioning,positive regulation of leukocyte migration
SCF,Increase,Pat10Proa,Immune cell amplification,positive regulation of cell population proliferation
SCF,Increase,Pat10Proa,Tissue destruction,mast cell apoptotic process
SCF,Increase,Pat10Proa,Resolution,negative regulation of mast cell apoptotic process
SCF,Increase,Pat10Proa,Tissue destruction,ectopic germ cell programmed cell death
SCF,Increase,Pat10Proa,Immune cell amplification,T cell proliferation
SCF,Increase,Pat10Proa,Immune cell amplification,positive regulation of T cell proliferation
SCF,Increase,Pat10Proa,Immune cell amplification,mast cell proliferation
SCF,Increase,Pat10Proa,Immune cell amplification,positive regulation of mast cell proliferation
SCF,Increase,Pat10Proa,Tissue destruction,extrinsic apoptotic signaling pathway in absence of ligand
SCF,Increase,Pat10Proa,Immune cell positioning,melanocyte migration
SCF,Increase,Pat10Proa,Immune cell positioning,mast cell migration
SCF,Increase,Pat10Proa,Immune cell amplification,positive regulation of hematopoietic stem cell proliferation
TGF-A,Increase,Pat10Proa,Tissue construction / repair,angiogenesis
TGF-A,Increase,Pat10Proa,Immune cell amplification,positive regulation of cell population proliferation
TGF-A,Increase,Pat10Proa,Immune cell amplification,positive regulation of epithelial cell proliferation
TGF-A,Increase,Pat10Proa,Immune cell amplification,hepatocyte proliferation
G-CSF,Increase,Pat10Proa,Immune cell amplification,positive regulation of cell population proliferation
GM-CSF,Increase,Pat10Proa,Immune cell activation,cell surface receptor signaling pathway via JAK-STAT
GM-CSF,Increase,Pat10Proa,Immune cell amplification,cell population proliferation
GM-CSF,Increase,Pat10Proa,Immune cell amplification,positive regulation of cell population proliferation
GM-CSF,Increase,Pat10Proa,Immune cell positioning,positive regulation of cell migration
GM-CSF,Increase,Pat10Proa,Tissue construction / repair,epithelial fluid transport
GM-CSF,Increase,Pat10Proa,Resolution,negative regulation of DNA-templated transcription
GM-CSF,Increase,Pat10Proa,Immune cell amplification,positive regulation of leukocyte proliferation
GM-CSF,Increase,Pat10Proa,Resolution,negative regulation of extrinsic apoptotic signaling pathway in absence of ligand
MCP-3,Increase,Pat10Proa,Immune cell positioning,monocyte chemotaxis
MCP-3,Increase,Pat10Proa,Immune cell positioning,chemotaxis
MCP-3,Increase,Pat10Proa,Immune cell positioning,positive regulation of cell migration
MCP-3,Increase,Pat10Proa,Immune cell positioning,eosinophil chemotaxis
MCP-3,Increase,Pat10Proa,Immune cell positioning,positive regulation of natural killer cell chemotaxis
sCD40L,Increase,Pat10Proa,Immune cell activation,platelet activation
sCD40L,Increase,Pat10Proa,Immune cell amplification,B cell proliferation
sCD40L,Increase,Pat10Proa,Immune cell amplification,positive regulation of T cell proliferation
sCD40L,Increase,Pat10Proa,Resolution,negative regulation of apoptotic process
sCD40L,Increase,Pat10Proa,Tissue destruction,positive regulation of endothelial cell apoptotic process
sCD40L,Increase,Pat10Proa,Tissue destruction,positive regulation of extrinsic apoptotic signaling pathway
IL-17A,Increase,Pat10Proa,Tissue destruction,apoptotic process
IL-17A,Increase,Pat10Proa,Tissue destruction,cell death
IL-17A,Increase,Pat10Proa,Immune cell amplification,keratinocyte proliferation
IL-17A,Increase,Pat10Proa,Immune cell activation,innate immune response
IL-17A,Increase,Pat10Proa,Bone remodeling,positive regulation of osteoclast differentiation
IL-17A,Increase,Pat10Proa,Tissue construction / repair,intestinal epithelial structure maintenance
IL-17A,Increase,Pat10Proa,Immune cell activation,fibroblast activation
IL-17A,Increase,Pat10Proa,Immune cell positioning,granulocyte migration
IL-17A,Increase,Pat10Proa,Resolution,negative regulation of inflammatory response to wounding
IL-17A,Increase,Pat10Proa,Immune cell activation,positive regulation of cytokine production involved in inflammatory response
IL-1A,Increase,Pat10Proa,Immune cell activation,cytokine production
IL-1A,Increase,Pat10Proa,Immune cell activation,positive regulation of cytokine production
IL-1A,Increase,Pat10Proa,Tissue construction / repair,connective tissue replacement involved in inflammatory response wound healing
IL-1A,Increase,Pat10Proa,Tissue destruction,apoptotic process
IL-1A,Increase,Pat10Proa,Immune cell amplification,negative regulation of cell population proliferation
IL-1A,Increase,Pat10Proa,Immune cell amplification,positive regulation of immature T cell proliferation in thymus
IL-1A,Increase,Pat10Proa,Tissue destruction,ectopic germ cell programmed cell death
IL-1A,Increase,Pat10Proa,Tissue construction / repair,positive regulation of angiogenesis
IL-1A,Increase,Pat10Proa,Tissue destruction,extrinsic apoptotic signaling pathway in absence of ligand
IL-1A,Increase,Pat10Proa,Immune cell positioning,positive regulation of neutrophil migration
IL-1A,Increase,Pat10Proa,Resolution,negative regulation of establishment of Sertoli cell barrier
IL-1A,Increase,Pat10Proa,Resolution,negative regulation of extrinsic apoptotic signaling pathway in absence of ligand
IL-1B,Increase,Pat10Proa,Immune cell activation,cytokine production
IL-1B,Increase,Pat10Proa,Tissue destruction,apoptotic process
IL-1B,Increase,Pat10Proa,Immune cell amplification,positive regulation of cell population proliferation
IL-1B,Increase,Pat10Proa,Immune cell amplification,negative regulation of cell population proliferation
IL-1B,Increase,Pat10Proa,Tissue construction / repair,positive regulation of epithelial to mesenchymal transition
IL-1B,Increase,Pat10Proa,Resolution,negative regulation of D-glucose transmembrane transport
IL-1B,Increase,Pat10Proa,Immune cell positioning,positive regulation of cell migration
IL-1B,Increase,Pat10Proa,Immune cell positioning,neutrophil chemotaxis
IL-1B,Increase,Pat10Proa,Immune cell amplification,positive regulation of immature T cell proliferation in thymus
IL-1B,Increase,Pat10Proa,Tissue destruction,ectopic germ cell programmed cell death
IL-1B,Increase,Pat10Proa,Immune cell amplification,positive regulation of T cell proliferation
IL-1B,Increase,Pat10Proa,Resolution,negative regulation of MAP kinase activity
IL-1B,Increase,Pat10Proa,Tissue construction / repair,positive regulation of angiogenesis
IL-1B,Increase,Pat10Proa,Resolution,negative regulation of lipid metabolic process
IL-1B,Increase,Pat10Proa,Immune cell activation,positive regulation of complement activation
IL-1B,Increase,Pat10Proa,Resolution,negative regulation of insulin receptor signaling pathway
IL-1B,Increase,Pat10Proa,Immune cell activation,astrocyte activation
IL-1B,Increase,Pat10Proa,Resolution,negative regulation of neurogenesis
IL-1B,Increase,Pat10Proa,Resolution,negative regulation of synaptic transmission
IL-1B,Increase,Pat10Proa,Resolution,negative regulation of lipid catabolic process
IL-1B,Increase,Pat10Proa,Immune cell amplification,positive regulation of glial cell proliferation
IL-1B,Increase,Pat10Proa,Resolution,negative regulation of adiponectin secretion
IL-1B,Increase,Pat10Proa,Tissue destruction,extrinsic apoptotic signaling pathway in absence of ligand
IL-1B,Increase,Pat10Proa,Resolution,negative regulation of gap junction assembly
IL-1B,Increase,Pat10Proa,Immune cell activation,positive regulation of T-helper 1 cell cytokine production
IL-1B,Increase,Pat10Proa,Resolution,negative regulation of extrinsic apoptotic signaling pathway in absence of ligand
IL-6,Increase,Pat10Proa,Tissue destruction,neutrophil apoptotic process
IL-6,Increase,Pat10Proa,Immune cell positioning,monocyte chemotaxis
IL-6,Increase,Pat10Proa,Immune cell positioning,positive regulation of leukocyte chemotaxis
IL-6,Increase,Pat10Proa,Immune cell activation,cell surface receptor signaling pathway via JAK-STAT
IL-6,Increase,Pat10Proa,Immune cell amplification,positive regulation of cell population proliferation
IL-6,Increase,Pat10Proa,Immune cell amplification,negative regulation of cell population proliferation
IL-6,Increase,Pat10Proa,Tissue construction / repair,positive regulation of epithelial to mesenchymal transition
IL-6,Increase,Pat10Proa,Resolution,negative regulation of lipid storage
IL-6,Increase,Pat10Proa,Immune cell activation,platelet activation
IL-6,Increase,Pat10Proa,Resolution,negative regulation of chemokine production
IL-6,Increase,Pat10Proa,Resolution,negative regulation of collagen biosynthetic process
IL-6,Increase,Pat10Proa,Immune cell amplification,positive regulation of T cell proliferation
IL-6,Increase,Pat10Proa,Tissue destruction,positive regulation of apoptotic process
IL-6,Increase,Pat10Proa,Resolution,negative regulation of apoptotic process
IL-6,Increase,Pat10Proa,Resolution,negative regulation of fat cell differentiation
IL-6,Increase,Pat10Proa,Bone remodeling,positive regulation of osteoblast differentiation
IL-6,Increase,Pat10Proa,Tissue construction / repair,regulation of angiogenesis
IL-6,Increase,Pat10Proa,Resolution,negative regulation of bone resorption
IL-6,Increase,Pat10Proa,Immune cell activation,positive regulation of receptor signaling pathway via JAK-STAT
IL-6,Increase,Pat10Proa,Immune cell amplification,positive regulation of smooth muscle cell proliferation
IL-6,Increase,Pat10Proa,Resolution,negative regulation of neurogenesis
IL-6,Increase,Pat10Proa,Immune cell activation,positive regulation of B cell activation
IL-6,Increase,Pat10Proa,Immune cell amplification,positive regulation of glial cell proliferation
IL-6,Increase,Pat10Proa,Immune cell activation,regulation of astrocyte activation
IL-6,Increase,Pat10Proa,Immune cell amplification,hepatocyte proliferation
IL-6,Increase,Pat10Proa,Tissue construction / repair,liver regeneration
IL-6,Increase,Pat10Proa,Immune cell activation,positive regulation of cytokine production involved in inflammatory response
IL-6,Increase,Pat10Proa,Tissue destruction,positive regulation of apoptotic DNA fragmentation
IL-6,Increase,Pat10Proa,Immune cell activation,regulation of microglial cell activation
IL-6,Increase,Pat10Proa,Immune cell activation,positive regulation of T-helper 2 cell cytokine production
IL-6,Increase,Pat10Proa,Resolution,negative regulation of primary miRNA processing
IL-6,Increase,Pat10Proa,Resolution,negative regulation of interleukin-1-mediated signaling pathway
IL-6,Increase,Pat10Proa,Tissue destruction,positive regulation of type B pancreatic cell apoptotic process
RANTES,Increase,Pat10Proa,Immune cell positioning,dendritic cell chemotaxis
RANTES,Increase,Pat10Proa,Immune cell positioning,monocyte chemotaxis
RANTES,Increase,Pat10Proa,Immune cell positioning,chemotaxis
RANTES,Increase,Pat10Proa,Immune cell positioning,positive regulation of macrophage chemotaxis
RANTES,Increase,Pat10Proa,Immune cell positioning,positive regulation of T cell chemotaxis
RANTES,Increase,Pat10Proa,Immune cell positioning,positive regulation of smooth muscle cell migration
RANTES,Increase,Pat10Proa,Immune cell positioning,positive regulation of cell migration
RANTES,Increase,Pat10Proa,Immune cell activation,activation of phospholipase D activity
RANTES,Increase,Pat10Proa,Immune cell amplification,positive regulation of T cell proliferation
RANTES,Increase,Pat10Proa,Immune cell activation,neutrophil activation
RANTES,Increase,Pat10Proa,Resolution,negative regulation by host of viral transcription
RANTES,Increase,Pat10Proa,Resolution,negative regulation of viral genome replication
RANTES,Increase,Pat10Proa,Immune cell activation,positive regulation of innate immune response
RANTES,Increase,Pat10Proa,Resolution,negative regulation of G protein-coupled receptor signaling pathway
RANTES,Increase,Pat10Proa,Immune cell positioning,eosinophil chemotaxis
RANTES,Increase,Pat10Proa,Immune cell positioning,macrophage chemotaxis
RANTES,Increase,Pat10Proa,Immune cell amplification,positive regulation of smooth muscle cell proliferation
RANTES,Increase,Pat10Proa,Immune cell amplification,epithelial cell proliferation
RANTES,Increase,Pat10Proa,Immune cell amplification,positive regulation of epithelial cell proliferation
RANTES,Increase,Pat10Proa,Immune cell activation,regulation of T cell activation
RANTES,Increase,Pat10Proa,Immune cell positioning,positive chemotaxis
RANTES,Increase,Pat10Proa,Resolution,negative regulation of chemokine-mediated signaling pathway
RANTES,Increase,Pat10Proa,Resolution,negative regulation of T cell apoptotic process
RANTES,Increase,Pat10Proa,Tissue destruction,positive regulation of T cell apoptotic process
RANTES,Increase,Pat10Proa,Immune cell positioning,positive regulation of monocyte chemotaxis
RANTES,Increase,Pat10Proa,Resolution,negative regulation of macrophage apoptotic process
RANTES,Increase,Pat10Proa,Immune cell positioning,positive regulation of T cell migration
RANTES,Increase,Pat10Proa,Immune cell positioning,positive regulation of natural killer cell chemotaxis
MMP-1,Increase,Pat10Proa,Tissue construction / repair,extracellular matrix organization
MMP-2,Increase,Pat10Proa,Tissue construction / repair,angiogenesis
MMP-2,Increase,Pat10Proa,Resolution,negative regulation of cell adhesion
MMP-2,Increase,Pat10Proa,Tissue construction / repair,peripheral nervous system axon regeneration
MMP-2,Increase,Pat10Proa,Immune cell positioning,cell migration
MMP-2,Increase,Pat10Proa,Tissue construction / repair,extracellular matrix organization
MMP-2,Increase,Pat10Proa,Immune cell positioning,positive regulation of cell migration
MMP-2,Increase,Pat10Proa,Resolution,negative regulation of vasoconstriction
MMP-2,Increase,Pat10Proa,Immune cell positioning,macrophage chemotaxis
MMP-2,Increase,Pat10Proa,Tissue destruction,positive regulation of oxidative stress-induced neuron intrinsic apoptotic signaling pathway
MMP-2,Increase,Pat10Proa,Immune cell amplification,positive regulation of vascular associated smooth muscle cell proliferation
MMP-10,Increase,Pat10Proa,Tissue construction / repair,extracellular matrix organization
GDF-15,Increase,Pat10Proa,Immune cell positioning,negative regulation of leukocyte migration
GDF-15,Increase,Pat10Proa,Resolution,negative regulation of transforming growth factor beta receptor signaling pathway
GDF-15,Increase,Pat10Proa,Resolution,negative regulation of appetite
GDF-15,Increase,Pat10Proa,Resolution,negative regulation of multicellular organism growth
GDF-15,Increase,Pat10Proa,Resolution,negative regulation of SMAD protein signal transduction
GDF-15,Increase,Pat10Proa,Resolution,negative regulation of growth hormone receptor signaling pathway
TRAP5,Increase,Pat10Proa,Immune cell activation,negative regulation of macrophage cytokine production
TRAP5,Increase,Pat10Proa,Resolution,negative regulation of interleukin-1 beta production
TRAP5,Increase,Pat10Proa,Resolution,negative regulation of interleukin-12 production
TRAP5,Increase,Pat10Proa,Resolution,negative regulation of tumor necrosis factor production
TRAP5,Increase,Pat10Proa,Resolution,negative regulation of superoxide anion generation
TRAP5,Increase,Pat10Proa,Resolution,negative regulation of nitric oxide biosynthetic process
TRAP5,Increase,Pat10Proa,Tissue destruction,bone resorption
TRAP5,Increase,Pat10Proa,Resolution,negative regulation of inflammatory response
OPG,Increase,Pat10Proa,Tissue destruction,apoptotic process
OPG,Increase,Pat10Proa,Resolution,negative regulation of tumor necrosis factor-mediated signaling pathway
OPG,Increase,Pat10Proa,Tissue construction / repair,extracellular matrix organization
OPG,Increase,Pat10Proa,Resolution,negative regulation of odontogenesis of dentin-containing tooth
OPG,Increase,Pat10Proa,Resolution,negative regulation of osteoclast differentiation
OPG,Increase,Pat10Proa,Resolution,negative regulation of bone resorption
LIF,Decrease,Pat 3/5,Immune cell amplification,positive regulation of cell population proliferation
LIF,Decrease,Pat 3/5,Immune cell amplification,negative regulation of cell population proliferation
LIF,Decrease,Pat 3/5,Resolution,negative regulation of meiotic nuclear division
LIF,Decrease,Pat 3/5,Resolution,negative regulation of hormone secretion
LIF,Decrease,Pat 3/5,Immune cell amplification,fibroblast proliferation
LIF,Decrease,Pat 3/5,Immune cell amplification,positive regulation of fibroblast proliferation
LIF,Decrease,Pat 3/5,Resolution,negative regulation of ERK1 and ERK2 cascade
LIF,Decrease,Pat 3/5,Tissue construction / repair,positive regulation of mesenchymal to epithelial transition involved in metanephros morphogenesis
LIF,Decrease,Pat 3/5,Tissue construction / repair,regulation of metanephric nephron tubule epithelial cell differentiation
SCF,Decrease,Pat 3/5,Immune cell positioning,neural crest cell migration
SCF,Decrease,Pat 3/5,Immune cell positioning,positive regulation of leukocyte migration
SCF,Decrease,Pat 3/5,Immune cell amplification,positive regulation of cell population proliferation
SCF,Decrease,Pat 3/5,Tissue destruction,mast cell apoptotic process
SCF,Decrease,Pat 3/5,Resolution,negative regulation of mast cell apoptotic process
SCF,Decrease,Pat 3/5,Tissue destruction,ectopic germ cell programmed cell death
SCF,Decrease,Pat 3/5,Immune cell amplification,T cell proliferation
SCF,Decrease,Pat 3/5,Immune cell amplification,positive regulation of T cell proliferation
SCF,Decrease,Pat 3/5,Immune cell amplification,mast cell proliferation
SCF,Decrease,Pat 3/5,Immune cell amplification,positive regulation of mast cell proliferation
SCF,Decrease,Pat 3/5,Tissue destruction,extrinsic apoptotic signaling pathway in absence of ligand
SCF,Decrease,Pat 3/5,Immune cell positioning,melanocyte migration
SCF,Decrease,Pat 3/5,Immune cell positioning,mast cell migration
SCF,Decrease,Pat 3/5,Immune cell amplification,positive regulation of hematopoietic stem cell proliferation
IL-21,Decrease,Pat 3/5,Immune cell activation,positive regulation of cytokine production
IL-21,Decrease,Pat 3/5,Immune cell amplification,positive regulation of cell population proliferation
IL-21,Decrease,Pat 3/5,Immune cell amplification,positive regulation of B cell proliferation
IL-21,Decrease,Pat 3/5,Immune cell amplification,positive regulation of T cell proliferation
IL-23,Decrease,Pat 3/5,Immune cell activation,cell surface receptor signaling pathway via JAK-STAT
IL-23,Decrease,Pat 3/5,Resolution,negative regulation of interleukin-10 production
IL-23,Decrease,Pat 3/5,Immune cell activation,positive regulation of natural killer cell activation
IL-23,Decrease,Pat 3/5,Immune cell amplification,positive regulation of natural killer cell proliferation
IL-23,Decrease,Pat 3/5,Immune cell amplification,T cell proliferation
IL-23,Decrease,Pat 3/5,Immune cell amplification,positive regulation of T cell proliferation
IL-23,Decrease,Pat 3/5,Immune cell amplification,positive regulation of activated T cell proliferation
IL-23,Decrease,Pat 3/5,Immune cell activation,innate immune response
IL-23,Decrease,Pat 3/5,Bone remodeling,positive regulation of osteoclast differentiation
IL-23,Decrease,Pat 3/5,Immune cell activation,positive regulation of NK T cell activation
IL-23,Decrease,Pat 3/5,Immune cell amplification,positive regulation of NK T cell proliferation
IL-23,Decrease,Pat 3/5,Immune cell positioning,positive regulation of neutrophil chemotaxis
SDF-1a.b,Decrease,Pat 3/5,Immune cell positioning,neuron migration
SDF-1a.b,Decrease,Pat 3/5,Immune cell amplification,positive regulation of endothelial cell proliferation
SDF-1a.b,Decrease,Pat 3/5,Immune cell positioning,chemotaxis
SDF-1a.b,Decrease,Pat 3/5,Immune cell positioning,T cell chemotaxis
SDF-1a.b,Decrease,Pat 3/5,Immune cell positioning,telencephalon cell migration
SDF-1a.b,Decrease,Pat 3/5,Immune cell positioning,positive regulation of cell migration
SDF-1a.b,Decrease,Pat 3/5,Tissue construction / repair,animal organ regeneration
SDF-1a.b,Decrease,Pat 3/5,Immune cell activation,integrin activation
SDF-1a.b,Decrease,Pat 3/5,Immune cell positioning,induction of positive chemotaxis
SDF-1a.b,Decrease,Pat 3/5,Immune cell positioning,cell chemotaxis
SDF-1a.b,Decrease,Pat 3/5,Immune cell positioning,positive regulation of monocyte chemotaxis
SDF-1a.b,Decrease,Pat 3/5,Resolution,negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage
SDF-1a.b,Decrease,Pat 3/5,Resolution,negative regulation of leukocyte tethering or rolling
SDF-1a.b,Decrease,Pat 3/5,Immune cell positioning,positive regulation of T cell migration
SDF-1a.b,Decrease,Pat 3/5,Resolution,negative regulation of dendritic cell apoptotic process
ENA-78,Increase,Pat 3/5,Immune cell positioning,chemotaxis
ENA-78,Increase,Pat 3/5,Immune cell amplification,positive regulation of cell population proliferation
ENA-78,Increase,Pat 3/5,Immune cell positioning,neutrophil chemotaxis
MIP-1d,Decrease,Pat 3/5,Immune cell positioning,chemotaxis
MIP-1d,Decrease,Pat 3/5,Immune cell positioning,positive regulation of cell migration
MIP-1d,Decrease,Pat 3/5,Immune cell positioning,positive chemotaxis
MIP-1d,Decrease,Pat 3/5,Immune cell positioning,cell chemotaxis
IL-28A,Decrease,Pat 3/5,Immune cell activation,mucosal immune response
IL-28A,Decrease,Pat 3/5,Immune cell activation,cell surface receptor signaling pathway via JAK-STAT
IL-28A,Decrease,Pat 3/5,Immune cell activation,type III interferon-mediated signaling pathway
IL-28A,Decrease,Pat 3/5,Immune cell activation,innate immune response
IL-28A,Decrease,Pat 3/5,Immune cell activation,positive regulation of immune response
IL-28A,Decrease,Pat 3/5,Immune cell activation,defense response to virus
IL-28A,Decrease,Pat 3/5,Immune cell activation,cellular response to virus
HSP70,Decrease,Pat 3/5,Resolution,negative regulation of transcription by RNA polymerase II
HSP70,Decrease,Pat 3/5,Immune cell amplification,negative regulation of cell population proliferation
HSP70,Decrease,Pat 3/5,Resolution,negative regulation of cell growth
HSP70,Decrease,Pat 3/5,Resolution,negative regulation of transforming growth factor beta receptor signaling pathway
HSP70,Decrease,Pat 3/5,Resolution,negative regulation of protein ubiquitination
HSP70,Decrease,Pat 3/5,Resolution,negative regulation of apoptotic process
HSP70,Decrease,Pat 3/5,Resolution,negative regulation of inclusion body assembly
HSP70,Decrease,Pat 3/5,Resolution,negative regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway
HSP70,Decrease,Pat 3/5,Resolution,negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway
HSP70,Decrease,Pat 3/5,Resolution,negative regulation of extrinsic apoptotic signaling pathway in absence of ligand
Eotaxin,Decrease,Pat 3/5,Immune cell amplification,positive regulation of endothelial cell proliferation
Eotaxin,Decrease,Pat 3/5,Immune cell positioning,mast cell chemotaxis
Eotaxin,Decrease,Pat 3/5,Immune cell positioning,chemotaxis
Eotaxin,Decrease,Pat 3/5,Immune cell positioning,positive regulation of cell migration
Eotaxin,Decrease,Pat 3/5,Tissue construction / repair,positive regulation of angiogenesis
Eotaxin,Decrease,Pat 3/5,Immune cell positioning,eosinophil chemotaxis
Eotaxin,Decrease,Pat 3/5,Resolution,negative regulation of neurogenesis
IFN-y,Decrease,Pat 3/5,Resolution,negative regulation of transcription by RNA polymerase II
IFN-y,Decrease,Pat 3/5,Immune cell activation,microglial cell activation
IFN-y,Decrease,Pat 3/5,Immune cell activation,positive regulation of cytokine production
IFN-y,Decrease,Pat 3/5,Immune cell activation,macrophage activation involved in immune response
IFN-y,Decrease,Pat 3/5,Tissue destruction,apoptotic process
IFN-y,Decrease,Pat 3/5,Immune cell activation,cell surface receptor signaling pathway via JAK-STAT
IFN-y,Decrease,Pat 3/5,Immune cell amplification,positive regulation of cell population proliferation
IFN-y,Decrease,Pat 3/5,Resolution,negative regulation of gene expression
IFN-y,Decrease,Pat 3/5,Immune cell positioning,positive regulation of epithelial cell migration
IFN-y,Decrease,Pat 3/5,Resolution,negative regulation of epithelial cell differentiation
IFN-y,Decrease,Pat 3/5,Resolution,negative regulation of interleukin-17 production
IFN-y,Decrease,Pat 3/5,Tissue destruction,positive regulation of smooth muscle cell apoptotic process
IFN-y,Decrease,Pat 3/5,Bone remodeling,positive regulation of osteoclast differentiation
IFN-y,Decrease,Pat 3/5,Resolution,negative regulation of DNA-templated transcription
IFN-y,Decrease,Pat 3/5,Immune cell activation,astrocyte activation
IFN-y,Decrease,Pat 3/5,Immune cell amplification,negative regulation of smooth muscle cell proliferation
IFN-y,Decrease,Pat 3/5,Tissue destruction,extrinsic apoptotic signaling pathway
IFN-y,Decrease,Pat 3/5,Resolution,negative regulation of amyloid-beta clearance
MMP-8,Decrease,Pat 3/5,Tissue construction / repair,extracellular matrix organization
MMP-8,Decrease,Pat 3/5,Immune cell activation,positive regulation of microglial cell activation
MCP-3,Decrease,Pat 3/5,Immune cell positioning,monocyte chemotaxis
MCP-3,Decrease,Pat 3/5,Immune cell positioning,chemotaxis
MCP-3,Decrease,Pat 3/5,Immune cell positioning,positive regulation of cell migration
MCP-3,Decrease,Pat 3/5,Immune cell positioning,eosinophil chemotaxis
MCP-3,Decrease,Pat 3/5,Immune cell positioning,positive regulation of natural killer cell chemotaxis
IL-12p40,Decrease,Pat 3/5,Immune cell activation,regulation of cytokine production
IL-12p40,Decrease,Pat 3/5,Immune cell activation,natural killer cell activation involved in immune response
IL-12p40,Decrease,Pat 3/5,Resolution,negative regulation of inflammatory response to antigenic stimulus
IL-12p40,Decrease,Pat 3/5,Immune cell activation,cell surface receptor signaling pathway via JAK-STAT
IL-12p40,Decrease,Pat 3/5,Immune cell positioning,cell migration
IL-12p40,Decrease,Pat 3/5,Immune cell activation,natural killer cell activation
IL-12p40,Decrease,Pat 3/5,Resolution,negative regulation of interleukin-10 production
IL-12p40,Decrease,Pat 3/5,Resolution,negative regulation of interleukin-17 production
IL-12p40,Decrease,Pat 3/5,Immune cell activation,positive regulation of natural killer cell activation
IL-12p40,Decrease,Pat 3/5,Immune cell amplification,positive regulation of natural killer cell proliferation
IL-12p40,Decrease,Pat 3/5,Immune cell amplification,positive regulation of mononuclear cell proliferation
IL-12p40,Decrease,Pat 3/5,Tissue destruction,positive regulation of smooth muscle cell apoptotic process
IL-12p40,Decrease,Pat 3/5,Immune cell amplification,T cell proliferation
IL-12p40,Decrease,Pat 3/5,Immune cell amplification,positive regulation of T cell proliferation
IL-12p40,Decrease,Pat 3/5,Immune cell amplification,positive regulation of activated T cell proliferation
IL-12p40,Decrease,Pat 3/5,Bone remodeling,positive regulation of osteoclast differentiation
IL-12p40,Decrease,Pat 3/5,Immune cell amplification,negative regulation of smooth muscle cell proliferation
IL-12p40,Decrease,Pat 3/5,Immune cell amplification,positive regulation of lymphocyte proliferation
IL-12p40,Decrease,Pat 3/5,Resolution,negative regulation of protein secretion
IL-12p40,Decrease,Pat 3/5,Immune cell activation,positive regulation of NK T cell activation
IL-12p40,Decrease,Pat 3/5,Immune cell amplification,positive regulation of NK T cell proliferation
IL-12p40,Decrease,Pat 3/5,Resolution,negative regulation of vascular endothelial growth factor signaling pathway
IL-12p40,Decrease,Pat 3/5,Immune cell amplification,negative regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis
IL-12p70,Decrease,Pat 3/5,Immune cell positioning,cell migration
